Question,Option 1,Option 2,Option 3,Option 4,Answer,Hint,Know More,Link,YouTube,Image,Type,Concept/Subtopic,Worksheet No,Difficulty
What fraction is shown in the image? (40),1/5,2/6,7/8,1/7,7/8,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_39.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (41),1/2,1/5,1/4,3/9,1/2,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_40.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (42),2/4,1/6,1/4,7/8,1/4,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_41.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (43),4/5,7/9,5/9,4/6,7/9,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_42.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (44),3/4,2/9,1/5,7/8,7/8,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_43.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (45),2/4,4/8,1/5,1/4,1/5,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_44.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (46),1/3,3/6,3/7,3/4,1/3,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_45.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (47),2/4,3/7,2/9,1/5,3/7,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_46.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (48),1/5,1/4,1/2,7/8,1/5,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_47.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (49),3/8,6/8,3/4,1/2,3/8,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_48.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (50),4/6,3/4,2/9,1/5,1/5,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_49.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (51),3/5,1/2,2/6,3/4,1/2,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_50.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (52),6/9,1/7,2/4,1/2,1/7,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_51.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (53),2/3,2/4,3/8,1/4,2/4,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_52.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (54),1/8,6/8,1/6,2/3,6/8,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_53.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (55),1/8,7/9,2/5,1/2,2/5,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_54.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (56),1/6,4/6,2/3,6/9,6/9,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_55.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (57),5/7,5/9,2/4,4/5,4/5,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_56.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (58),2/7,1/2,3/5,3/4,1/2,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_57.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (59),4/7,1/3,4/5,5/7,4/7,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_58.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (60),2/3,4/5,4/6,4/9,4/6,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_59.svg,MCQ,Fractions,7,Medium
Sarah has a chocolate bar with 12 pieces. She eats 1/3 of it. How many pieces does she eat?,3,4,6,2,4,Divide 12 by the denominator (3).,"To find a fraction of a number, divide the number by the denominator.",https://www.mathsisfun.com/fractions_multiplication.html,,,MCQ,Fractions,7,Hard
Tom has 20 marbles. 1/4 of them are blue. How many blue marbles does he have?,4,5,10,2,5,Divide 20 by 4.,Finding a fraction of a group is division.,https://www.mathsisfun.com/fractions_multiplication.html,,,MCQ,Fractions,7,Hard
A pizza is cut into 8 slices. John eats 3 slices. What fraction of the pizza is left?,3/8,5/8,1/2,4/8,5/8,Subtract the eaten slices from the total slices.,The whole is 8/8. Subtract 3/8.,https://www.mathsisfun.com/fractions_subtraction.html,,,MCQ,Fractions,7,Hard
There are 24 students in a class. 1/2 of them are girls. How many boys are there?,12,10,14,24,12,"If 1/2 are girls, the other 1/2 are boys.",Half of 24 is 12.,,,,MCQ,Fractions,7,Hard
Mary reads 1/5 of a 100-page book. How many pages did she read?,10,20,25,50,20,Divide 100 by 5.,1/5 of 100 means 100 divided by 5.,https://www.mathsisfun.com/fractions_multiplication.html,,,MCQ,Fractions,7,Hard
A garden has 15 flowers. 2/3 of them are red. How many red flowers are there?,5,10,15,3,10,"First find 1/3, then multiply by 2.",1/3 of 15 is 5. So 2/3 is 2 times 5.,https://www.mathsisfun.com/fractions_multiplication.html,,,MCQ,Fractions,7,Hard
Bob has 16 apples. He gives 1/4 to his friend. How many apples does he have left?,4,8,12,10,12,"Find 1/4 first (4 apples), then subtract from 16.",Subtracting the part given away finds the remainder.,,,,MCQ,Fractions,7,Hard
Lisa baked 12 cookies. She ate 1/6 of them. How many cookies did she eat?,1,2,3,4,2,Divide 12 by 6.,1/6 of 12 is 12 divided by 6.,,,,MCQ,Fractions,7,Hard
"A tank is 3/4 full. If it holds 40 liters, how many liters are in it?",10,20,30,40,30,Find 1/4 (10 liters) then multiply by 3.,3/4 is 3 times 1/4.,https://www.mathsisfun.com/fractions_multiplication.html,,,MCQ,Fractions,7,Hard
Jerry had $50. He spent 1/5 of it on a toy. How much did the toy cost?,$5,$10,$15,$20,$10,Divide 50 by 5.,1/5 means one part out of five equal parts.,,,,MCQ,Fractions,7,Hard
Farmer Joe has 30 animals. 1/3 are cows. How many cows are there?,10,15,5,20,10,Divide 30 by 3.,,,,,MCQ,Fractions,7,Hard
A ribbon is 18 meters long. Cut 1/3 of it. How long is the cut piece?,3m,6m,9m,12m,6m,Divide 18 by 3.,,,,,MCQ,Fractions,7,Hard
There are 40 students. 3/8 walk to school. How many walk?,5,10,15,20,15,"Find 1/8 first (40/8=5), then multiply by 3.","To find 3/8, find 1/8 and multiply by 3.",https://www.mathsisfun.com/fractions_multiplication.html,,,MCQ,Fractions,7,Hard
A bag has 24 candies. 1/6 are red. How many are NOT red?,4,20,18,6,20,"Find red candies (24/6=4), then subtract from total.",Or find 5/6 of 24.,,,,MCQ,Fractions,7,Hard
Sam slept for 1/3 of a day (24 hours). How many hours did he sleep?,6,8,10,12,8,Divide 24 by 3.,A day has 24 hours.,,,,MCQ,Fractions,7,Hard
A jug holds 2 liters. It is 1/2 full. How many milliliters is that? (1 liter = 1000 ml),500ml,1000ml,1500ml,200ml,1000ml,1/2 of 2 liters is 1 liter. Convert to ml.,1 liter = 1000 milliliters.,https://www.mathsisfun.com/measure/metric-volume.html,,,MCQ,Fractions,7,Hard
Amy has 12 stickers. She gives 1/4 to Ben and 1/4 to Sue. How many does she give away in total?,3,4,6,8,6,1/4 + 1/4 = 2/4 = 1/2. Find 1/2 of 12.,Adding fractions with same denominator is easy.,,,,MCQ,Fractions,7,Hard
A recipe needs 1/2 cup sugar. You want to make double. How much sugar?,1/2 cup,1 cup,1 1/2 cups,2 cups,1 cup,1/2 + 1/2 = 1.,Doubling a half makes a whole.,,,,MCQ,Fractions,7,Hard
A class lasts 60 minutes. 1/4 is for reading. How many minutes for reading?,10,15,20,30,15,Divide 60 by 4.,A quarter of an hour is 15 minutes.,,,,MCQ,Fractions,7,Hard
Tom runs 1/2 km. Jack runs 1/2 km. How far did they run together?,1/2 km,1 km,2 km,1.5 km,1 km,Add the distances.,Two halves make a whole.,,,,MCQ,Fractions,7,Hard
1/5 + 2/5 = ?,3/10,3/5,2/5,1/5,3/5,"Add the numerators, keep the denominator.","When denominators are the same, just add the top numbers.",https://www.mathsisfun.com/fractions_addition.html,,,MCQ,Fractions,7,Hard
3/7 + 2/7 = ?,5/14,6/7,5/7,1/7,5/7,3 + 2 = 5. Keep the 7.,Like fractions have the same bottom number.,https://www.mathsisfun.com/fractions_addition.html,,,MCQ,Fractions,7,Hard
1/4 + 1/4 = ?,2/8,1/2,1/4,3/4,1/2,2/4 simplifies to 1/2.,Always simplify your answer if possible.,https://www.mathsisfun.com/simplifying-fractions.html,,,MCQ,Fractions,7,Hard
2/9 + 4/9 = ?,6/18,6/9,8/9,2/9,6/9,2 + 4 = 6. Can you simplify 6/9?,6/9 simplifies to 2/3.,,,,MCQ,Fractions,7,Hard
5/8 + 1/8 = ?,6/16,4/8,6/8,7/8,6/8,5 + 1 = 6. Denominator stays 8.,6/8 is the same as 3/4.,,,,MCQ,Fractions,7,Hard
1/10 + 3/10 = ?,4/20,4/10,2/10,3/10,4/10,Add numerators.,4/10 simplifies to 2/5.,,,,MCQ,Fractions,7,Hard
1/3 + 1/3 = ?,2/6,2/3,1/3,3/3,2/3,1 + 1 = 2.,Two thirds.,,,,MCQ,Fractions,7,Hard
3/12 + 4/12 = ?,7/24,7/12,1/12,12/12,7/12,Just add the top numbers.,,,,,MCQ,Fractions,7,Hard
2/6 + 3/6 = ?,5/12,5/6,1/6,4/6,5/6,2 + 3 = 5.,,,,,MCQ,Fractions,7,Hard
1/2 + 0 = ?,0,1/2,1,2,1/2,Adding zero changes nothing.,Identity property of addition.,,,,MCQ,Fractions,7,Hard
"Assertion (A): 1/2 is greater than 1/3. Reason (R): In fractions, if numerators are same, the one with smaller denominator is larger.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is NOT the correct explanation of A,A is true but R is false,A is false but R is true,Both A and R are true and R is the correct explanation of A,Check if 1/2 > 1/3. Then check the rule.,"Smaller pieces mean you need more to make a whole, so 1/2 > 1/3.",https://www.mathsisfun.com/fractions_comparing.html,,,MCQ,Fractions,7,Hard
Assertion (A): 2/4 is equal to 1/2. Reason (R): Equivalent fractions have the same value.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is NOT the correct explanation of A,A is true but R is false,A is false but R is true,Both A and R are true and R is the correct explanation of A,Simplify 2/4.,Equivalent fractions represent the same part of a whole.,https://www.mathsisfun.com/equivalent_fractions.html,,,MCQ,Fractions,7,Hard
"Assertion (A): 5/5 is equal to 1. Reason (R): When numerator and denominator are the same, the fraction equals 1.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is NOT the correct explanation of A,A is true but R is false,A is false but R is true,Both A and R are true and R is the correct explanation of A,5 divided by 5 is 1.,A whole can be split into any number of parts.,,,,MCQ,Fractions,7,Hard
Assertion (A): 1/4 + 2/4 = 3/8. Reason (R): We add numerators and denominators.,Both A and R are true,"A is true, R is false","A is false, R is true",Both A and R are false,Both A and R are false,1/4 + 2/4 = 3/4. Never add denominators.,"When adding fractions, denominators stay the same.",https://www.mathsisfun.com/fractions_addition.html,,,MCQ,Fractions,7,Hard
Assertion (A): 1/3 of 12 is 4. Reason (R): 3 x 4 = 12.,Both A and R are true and R explains A,Both A and R are true but R does not explain A,A is true but R is false,A is false,Both A and R are true and R explains A,Division is the inverse of multiplication.,Finding a fraction is related to multiplication tables.,,,,MCQ,Fractions,7,Hard
Assertion (A): 7/8 is smaller than 1/8. Reason (R): 7 is bigger than 1.,Both A and R are true,A is false but R is true,A is true but R is false,Both false,A is false but R is true,7/8 is almost a whole. 1/8 is tiny.,"With same denominator, larger numerator means larger fraction.",https://www.mathsisfun.com/fractions_comparing.html,,,MCQ,Fractions,7,Hard
Assertion (A): 3/4 is a proper fraction. Reason (R): The numerator is smaller than the denominator.,Both A and R are true and R explains A,Both true but R doesn't explain A,"A true, R false",A false,Both A and R are true and R explains A,Check the definition of proper fraction.,Proper fractions are less than 1.,https://www.mathsisfun.com/proper_fractions.html,,,MCQ,Fractions,7,Hard
Assertion (A): 4/3 is an improper fraction. Reason (R): The numerator is greater than the denominator.,Both A and R are true and R explains A,Both true but R doesn't explain A,"A true, R false",A false,Both A and R are true and R explains A,Top is bigger than bottom.,Improper fractions are greater than 1.,https://www.mathsisfun.com/improper_fractions.html,,,MCQ,Fractions,7,Hard
Assertion (A): 1/2 = 2/4 = 3/6. Reason (R): These are equivalent fractions.,Both A and R are true and R explains A,Both true but R doesn't explain A,"A true, R false",A false,Both A and R are true and R explains A,Multiply top and bottom by same number.,,https://www.mathsisfun.com/equivalent_fractions.html,,,MCQ,Fractions,7,Hard
Assertion (A): 0/5 is 0. Reason (R): Zero divided by anything is zero.,Both A and R are true and R explains A,Both true but R doesn't explain A,"A true, R false",A false,Both A and R are true and R explains A,"If you have 0 pieces, you have nothing.",,,,,MCQ,Fractions,7,Hard
Assertion (A): 1/2 + 1/3 = 2/5. Reason (R): Add tops and add bottoms.,Both A and R are true,A is false and R is false,"A is true, R false","A false, R true",A is false and R is false,You need a common denominator to add 1/2 and 1/3.,Never just add the top and bottom numbers separately.,https://www.mathsisfun.com/fractions_addition.html,,,MCQ,Fractions,7,Hard
"Assertion (A): A unit fraction always has 1 as the numerator. Reason (R): 1/5, 1/8, 1/100 are unit fractions.",Both A and R are true and R is example of A,Both true but R doesn't relate,"A true, R false",A false,Both A and R are true and R is example of A,Unit means one.,Unit fractions represent one part of a whole.,https://www.mathsisfun.com/definitions/unit-fraction.html,,,MCQ,Fractions,7,Hard
Assertion (A): 2/2 is a whole number. Reason (R): 2 divided by 2 is 1.,Both A and R are true and R explains A,Both true but R doesn't explain A,"A true, R false",A false,Both A and R are true and R explains A,Any number divided by itself is 1.,,,,,MCQ,Fractions,7,Hard
Assertion (A): We use fractions to represent parts of a whole. Reason (R): A pizza slice is a fraction of a pizza.,Both A and R are true,A false,R false,Both false,Both A and R are true,Fractions mean broken parts.,,https://www.mathsisfun.com/fractions.html,,,MCQ,Fractions,7,Hard
Assertion (A): 3/5 is bigger than 4/5. Reason (R): 3 is smaller than 4.,Both A and R are true,A is false but R is true,"A is true, R false",Both false,A is false but R is true,Compare numerators when denominators are same.,,,,,MCQ,Fractions,7,Hard
Assertion (A): The bottom number is the Denominator. Reason (R): D stands for Down.,Both A and R are true and R is a good mnemonic,"A true, R false",A false,Both false,Both A and R are true and R is a good mnemonic,"Numerator is North (Up), Denominator is Down.",Denominator tells how many parts make a whole.,https://www.mathsisfun.com/definitions/denominator.html,,,MCQ,Fractions,7,Hard
Assertion (A): You can simplify 4/8 to 1/2. Reason (R): Both 4 and 8 can be divided by 4.,Both A and R are true and R explains A,Both true no explanation,A true R false,A false,Both A and R are true and R explains A,Divide top and bottom by the greatest common divisor.,,https://www.mathsisfun.com/simplifying-fractions.html,,,MCQ,Fractions,7,Hard
Assertion (A): 1/2 is equivalent to 50/100. Reason (R): 50 is half of 100.,Both A and R are true and R explains A,Both true no explanation,A true R false,A false,Both A and R are true and R explains A,Percentages are fractions out of 100.,,,,,MCQ,Fractions,7,Hard
"Assertion (A): If you eat 8/8 of a cake, you ate the whole cake. Reason (R): 8/8 equals 1.",Both A and R are true,A false,R false,Both false,Both A and R are true,The whole thing.,,,,,MCQ,Fractions,7,Hard
